zcr,rms,centroid,bandwidth,rolloff,mfcc_1_mean,mfcc_1_var,mfcc_2_mean,mfcc_2_var,mfcc_3_mean,mfcc_3_var,mfcc_4_mean,mfcc_4_var,mfcc_5_mean,mfcc_5_var,mfcc_6_mean,mfcc_6_var,mfcc_7_mean,mfcc_7_var,mfcc_8_mean,mfcc_8_var,mfcc_9_mean,mfcc_9_var,mfcc_10_mean,mfcc_10_var,mfcc_11_mean,mfcc_11_var,mfcc_12_mean,mfcc_12_var,mfcc_13_mean,mfcc_13_var,label
0.11330995021268368,0.10224163,2290.9396470333063,2181.5663392997676,4820.264974713602,-122.77545,957.9281,95.02316,510.92508,-29.384428,289.22583,46.77722,120.44069,-16.006794,130.23804,27.109676,89.19623,-13.1294775,123.759476,20.252937,94.82837,-5.389279,81.82271,15.461106,57.592133,-6.9193425,68.20068,15.639389,57.991577,-6.711004,57.070354,hiphop
0.1262363749516628,0.12414034,3258.307248271105,3321.339011000736,7619.44815155525,-104.793495,3082.2788,64.03617,657.07355,28.804502,613.87885,10.56003,250.3981,15.176524,202.37726,13.067325,90.353065,8.025533,117.13336,5.2390757,113.18243,6.7465467,88.49431,5.125547,65.003975,4.450881,66.73416,4.4701214,55.17384,3.357288,68.657936,hiphop
0.15213151947989173,0.06721186,3185.5488967360475,2603.8793384116775,6278.469175971578,-191.6433,3301.3147,41.318245,403.2732,5.0136566,447.9221,65.45382,220.99625,-4.320504,210.4136,42.6368,135.53877,-12.251249,116.72629,23.813137,82.86542,-4.2626615,97.29109,16.029984,87.8875,-5.0849648,97.75749,16.429445,74.59009,-9.367056,59.56059,hiphop
0.08777506888051044,0.10802322,2473.246187433862,2499.7054922430575,5509.702182424594,-168.2848,2836.7908,70.928505,273.67792,-3.0489533,398.55487,54.81575,123.75285,-12.119342,162.41519,30.501703,131.41913,-1.5368675,169.10399,28.829435,92.758026,-8.936953,110.693794,18.75314,51.240013,-6.604191,80.868454,14.595448,40.254112,-3.5817873,48.529755,hiphop
0.07984399168600155,0.07905619,2083.4389005825383,2198.235479537311,4479.439167633411,-198.95903,3202.5312,92.613266,739.3251,-19.521547,382.38562,39.53248,387.77103,-0.63655454,295.4982,33.590065,167.65819,-6.464646,128.41354,27.523464,108.03873,-2.3977447,92.32405,14.9951935,119.09423,-2.9880154,108.51264,14.893807,96.22562,-3.3824213,86.73359,hiphop
0.17268506904625383,0.16455324,3460.24289862119,2917.5568063224846,7021.890286786841,-102.89939,4726.356,30.651884,1140.4097,20.85029,865.3773,45.66796,349.61438,9.681037,279.532,8.775831,247.96254,1.5652864,313.27383,12.388126,183.17773,0.55941296,158.68675,5.1369996,103.39993,-2.7244706,87.77659,8.163298,95.92549,-1.3305278,85.00983,hiphop
0.12542634921210363,0.17160548,2284.3411891351216,2116.5943117834095,4663.012638667344,-67.46242,1307.7848,94.848274,457.97244,-38.84963,284.917,37.63342,194.60878,-12.246916,155.31618,36.890297,97.948944,-12.640727,107.093765,18.295763,75.59801,-8.845362,76.17655,17.97754,64.5008,-7.2741294,60.731228,9.713927,54.420624,-8.736391,49.17643,hiphop
0.06922378008990719,0.27877173,2500.4618224971823,3049.2102835032524,6026.957033515806,-81.726395,4956.11,82.33733,1051.054,53.536568,748.99176,25.526,276.42252,15.728676,213.49954,19.205505,88.35616,8.432267,77.854164,6.3902464,63.45066,0.20682321,78.89646,0.13791883,59.55186,1.2020648,45.72497,1.532111,37.305824,-0.73049814,38.264816,hiphop
0.172685781008314,0.19390872,3725.230349312218,3205.3230898123174,7642.421897658062,-23.859095,1429.0771,43.716724,291.41977,30.558304,262.96237,26.47368,135.36696,4.3383627,121.20712,21.920885,77.00022,2.5954423,68.637566,7.001879,36.676384,-1.4912329,52.41602,4.5795956,35.481827,0.41853642,32.241432,2.4708803,23.988886,-4.0689178,27.267916,hiphop
0.10929758495262955,0.24700375,3235.5558089909523,3272.0505859825503,7337.784528621664,-76.70574,3625.755,52.78695,745.2529,34.63606,525.3497,26.197575,297.67426,16.664795,254.79121,11.354165,183.4064,5.861285,130.28787,6.9141865,143.42484,3.6776621,113.16109,-0.9586157,102.49541,3.8744404,91.04951,4.4873643,76.652176,0.6391593,73.43153,hiphop
